Èı×ÖÄ¸ËõĞ´,µ¥×ÖÄ¸·ûºÅ,ÖĞÎÄÃû³Æ,Ó¢ÎÄÃû³Æ
Gly,G,¸Ê°±Ëá,Glycine
Ala,A,±û°±Ëá,Alanine
Val,V,çÓ°±Ëá,Valine
Leu,L,ÁÁ°±Ëá,Leucine
Ile,I,ÒìÁÁ°±Ëá,Isoleucine
Pro,P,¸¬°±Ëá,Proline
Phe,F,±½±û°±Ëá,Phenylalanine
Tyr,Y,ÀÒ°±Ëá,Tyrosine
Trp,W,É«°±Ëá,Tryptophan
Ser,S,Ë¿°±Ëá,Serine
Thr,T,ËÕ°±Ëá,Threonine
Cys,C,°ëë×°±Ëá,Cystine
Met,M,µ°°±Ëá,Methionine
Asn,N,Ìì¶¬õ£°·,Asparagine
Gln,Q,¹È°±õ£°·,Glutarnine
Asp,D,Ìì¶¬°±Ëá,Asparticacid
Glu,E,¹È°±Ëá,Glutamicacid
Lys,K,Àµ°±Ëá,Lysine
Arg,R,¾«°±Ëá,Arginine
His,H,×é°±Ëá,Histidine
Ter,X,ÖÕÖ¹×Ó,
